a lot	a lot: adv. muito
indispensability	<i> n</i> indispen­sabilidade.
indispensable	<p>indispensável, necessário.  </p>
indissolubility	<i> n</i> indissolubi­lidade.
indissolubly	<i>adv</i> indissoluvelmente.
indistinctly	<i>adv</i> indistintamente.
individual	<i> n</i><b> 1</b> indivíduo, pessoa, sujeito.<b> 2</b> personalidade. •<i> adj</i> individual, pessoal, particular, próprio, distinto, característico, singular.
individually	<i>adv</i> individualmente.
indonesian	Indonesian: adj. indonésio
indoor	<i> adj</i> feito portas adentro, interno, de salão.
indraft	<i>n<b> </b>Amer </i>= <b>indraught.</b>
indraught	<i>n</i> <i>Brit </i>corrente, fluxo em direção para dentro.
induce	<i>vt</i><b> 1</b> induzir, persuadir, levar, influenciar.<b> 2</b> causar, provocar, produzir.
inductively	<i>adv</i> por indução.
industrial	<i> n</i> industrial,<i> Brit</i> industriário •<i> adj</i> industrial.
industrialize	<i>vt </i>= <b>industrialise.</b>
industry	<i> n</i><b> 1</b> diligência, assiduidade, atividade, esforço.<b> 2</b> indústria, fábrica.
inequality	<i> n</i> desigualdade.
ineradicable	<i> adj</i> inerradicável: que não pode ser erradicado ou extirpado.
inertia	<i> n</i><b> 1</b> torpor, preguiça, indolência, apatia.<b> 2</b><i> Phys</i> inércia.
inevitable	<i>adj</i> inevitável.
inexorability	<i> n</i> inexorabilidade.
inexpertly	<i>adv</i> de maneira inex­pe­riente.
inexplicably	<i>adv</i> inexplicavel­mente.
inexpressibly	<i>adv</i> inexprimivel­mente.
inexpressive	<i> adj</i> inexpressivo.
infant	<i> n</i><b> 1</b> criança (nos primeiros anos de vida).<b> 2</b> menor.<b> 3</b> menino. •<i> adj</i><b> 1</b> infantil, moço, novo.<b> 2</b> não desenvolvido.
infect	<i>vt</i><b> 1</b> infetar, infeccionar.<b> 2</b> influenciar.
infection	<i> n</i><b> 1</b> infecção, contágio, contaminação.<b> </b><i>I caught the infection </i>/ fui contaminado. <b>2</b> influência.<b> 3</b> agente contaminador.
inferior	<i> n</i> inferior, subordinado, subalterno. •<i> adj</i><b> 1</b> inferior, subordinado.<b> 2</b> pior, que vale menos.<b> </b><i>he is inferior to none </i>/ ele não fica atrás de ninguém. <b>3</b> insignificante.
infinite	<i> adj</i> infinito, ilimitado. <b>the Infinite</b> Deus.
infirmary	<i> n</i> hospital, enfermaria.
inflammable	<i> adj</i> inflamável.
inflation	<i> n</i><b> 1</b> inchação, arrogância, presunção.<b> 2</b> <i>Econ</i> inflação.
inflow	<b> </b><i>n</i><b> </b>influxo, afluência de coisas.
influence	<i> n</i> influência, preponderância, prestígio. • <i>vt</i><b> 1</b> influenciar, influir.<b> 2</b> persuadir, manipular. <b>to be under the influence of</b> estar sob a influência de.
inform	<i>vt+vi</i><b> 1</b> informar, instruir, dar notícia, contar, avisar.<b> 2</b> acusar, denunciar, dar informações contra alguém.<b> 3</b> animar, entusiasmar. <b>to inform against</b><i> </i><b>someone</b> denunciar alguém.
informal	<i> adj</i> informal, sem formalidades, irregular, sem cerimônias, em “traje de passeio” (em convites).
information	<i> n</i><b> 1</b> conhecimento, informação, notícia, aviso.<b> 2</b> instrução, comunicação.<b> 3</b> acusação.<b> 4</b> dados. <b>a piece of</b> <b>information</b> uma informação. <b>for your</b> <b>information </b>para a sua orientação. <b>to gather information upon</b> pedir informações sobre. <b>to lodge information against</b> levantar queixa contra.
informational	<i>n</i> = <b>informative.</b>
informative	<i> adj</i><b> 1</b> informativo.<b> 2</b> instrutivo.
infrastructure	<i> n</i> infra-estrutura.
infrequent	<i> adj</i> infreqüente, raro.
inglenook	<i> n</i> lugar, canto perto da lareira.
ingloriously	<i>adv</i><b> 1</b> ingloriosamente.<b> 2</b> vergonhosamente.
ingrowing	<i> adj</i> crescendo para dentro, que se encrava.
inhabitant	<i> n</i> habitante, cidadão, morador, residente.
inhalation	<i> n</i> inalação.
inherit	<i>vt+vi</i><b> 1</b> herdar, receber por herança.<b> 2</b> receber por hereditariedade.
inheritance	<i> n</i> herança, bens herdados.
inhuman	<i> adj</i> inumano, desumano, cruel.
initial	<i> n</i> inicial: primeira letra de uma palavra. • <i>vt</i> pôr as iniciais, rubricar. •<i> adj</i> inicial, no princípio.
initially	<i>adv</i> inicialmente, no princípio.
initiate	<i> n</i> principiante, novato. • [in´i8ieit] <i>vt</i><b> 1</b> iniciar, começar, inaugurar, originar, desencadear.<b> 2</b> introduzir, admitir, empossar.<b> 3</b> instruir, inteirar, enfronhar, pôr a par. •<i> </i> <i>adj</i><b> 1</b> iniciado.<b> 2</b> inteirado.<b> 3</b> a par (<b>in</b> de).<b> 4</b> instruído.
initiative	<i> n</i><b> 1</b> iniciativa, atividade.<b> 2</b> iniciação, sugestão.<b> 3</b> direito iniciativo. •<i> adj</i> iniciativo, inicial, introdutivo. <b>on his own initiative</b> de iniciativa própria.<b> to take the</b> <b>initiative </b>tomar a iniciativa.
injudiciously	<i>adv</i> imprudentemente, precipitadamente.
injury	<i> n</i><b> 1</b> injúria, insulto.<b> 2</b> dano, prejuí­zo, avaria.<b> 3</b> injustiça.<b> 4</b> ferimento. <i>he received injuries </i>/ ele foi gravemente ferido.
injustice	<i> n</i> injustiça. <b>to do</b><i> </i><b>someone an</b> <b>injustice </b>fazer injustiça a alguém.
ink	<i> n</i> tinta de escrever ou de imprimir. • <i>vt</i><b> 1</b> sujar com tinta, borrar.<b> 2</b> <i>Typogr</i> pôr tinta nos tipos. <b>3 </b>marcar ou cobrir com tinta. <b>as black as</b> <b>ink </b>preto como carvão. <b>in ink </b>a tinta. <b>to ink in </b>a)<b> </b>encher com tinta. b) aplicar tinta a.
inkstand	<i>n</i> tinteiro (com porta-canetas).
inner	<i> adj</i> interno, interior, íntimo, secreto. <b>the inner man</b> a parte íntima da pessoa, a alma.
innocence	<i> n</i> inocência, simplicidade.
innocent	<i>n</i> <b>1 </b>pessoa inocente. <b>2 </b>tolo, simplório, idiota. <b>3 </b><i>Bot </i>centáurea-azul: flor azul muito delicada. •<i> adj</i> inocente, inofensivo, ingênuo, simples.<b> innocent as a lamb</b> inocente como um cordeirinho. <b>innocent of</b> livre de, sem. <b>innocent of reason</b> sem razão. <b>innocent of stockings</b> sem meias. <b>innocent of windows</b> sem janelas.
innocuousness	<i> n</i> inocuidade.
innovation	<i> n</i> inovação, novidade.
innovative	<i>adj </i>inovador, progressista.
innovatory	<i> adj</i> inovador.
innumerable	<i> adj</i> inumerável, muito numeroso.
inopportunely	<i>adv</i> inoportunamente, fora de tempo.
input	<i>n </i><b>1</b> quantidade que entra, quantidade ou força que é consumida. <b>2</b> absorção. <b>3 </b><i>Com </i>entrada, insumo. <b>4 </b><i>Comp </i>entrada de dados. • <i>vt Comp </i>alimentar o computador com informação.
inquiry	<i> n</i> <b>1 </b>inquirição, pesquisa, sindicância, averiguação, indagação, inquérito, investigação. <b>2 </b><i>Comp<b> </b></i>consulta, pergunta. <b>office inquiry</b> agência de informações.<b> to make inquiries</b> pedir informações.
inquisitorial	<i> adj</i> inquisitorial, inqui­ridor, investigador, curioso.
insalubrious	<i> adj</i> insalubre.
insanitary	<i> adj</i> insalubre, anti-higiênico.
insanity	<i> n</i> insanidade, demência, loucura.
inscrutability	<i> n</i> inescrutabili­dade, impenetrabilidade.
insect	<i> n</i><b> 1</b> inseto.<b> 2</b><i> fig</i> pessoa ou criatura desprezível.
insecurity	<i> n</i> insegurança, incerteza.
inside	<i>n</i><b> 1</b> interior, parte interna, lado interno.<b> 2</b> conteúdo, entranhas.<b> </b><i>take the inside out of that glass! </i>/ emborque o copo. <b>3</b><i> coll </i>órgãos internos do corpo, vísceras. •<i> adj</i><b> 1</b> que está dentro, interior, interno.<b> 2</b><i> sl </i>particular, secreto, confidencial.<b> 3</b><i> sl</i> no meio ou pertencente a um grupo ou a uma companhia. <b>4</b><i> coll </i>preso, detido. • [ins´aid]<i> adv</i> dentro, no meio, para dentro, no interior. •<i> prep</i> dentro, dentro dos limites de. <i>he did the job inside of an hour </i>/ ele executou o serviço em menos de uma hora. <b>inside out</b> às avessas. <b>on the inside </b>do lado de dentro.<b> the inside of a week</b> quase uma semana inteira.<b> to be on the inside track</b><i> </i>levar vantagem. <b>to know some­thing inside out </b><i>coll </i>saber de trás para a frente.
insight	<i> n</i> discernimento, critério, compreensão clara da natureza íntima de uma coisa, <i>insight</i>.
insignificant	<i> adj</i> insignificante, sem importância.
insipidity	<i> n</i> insipidez, falta de sabor.
insipidly	<i>adv</i> sem gosto.
insipidness	<i>n</i> = <b>insipidity.</b>
insist	<i>vt+vi</i> insistir, persistir, sustentar, teimar. <i>I insist on your coming </i>/ insisto em sua vinda. <i>I insist that you come </i>/ insisto em que você venha. <i>he insists on having seen it </i>/ ele teima em havê-lo visto.
inspect	<i>vt</i><b> 1</b> inspecionar, examinar, olhar.<b> 2</b> vistoriar.
inspection	<i> n</i> inspeção, vistoria, fiscalização, exame.
inspectorate	<i> n</i><b> 1</b> inspetoria, fiscalização.<b> 2</b> superintendência.
inspiration	<i> n</i><b> 1</b> inspiração, influência.<b> 2</b> idéia, entusiasmo artístico.<b> 3</b> sugestão.<b> 4</b> insuflação divina.<b> 5</b> respiração, inspiração (de ar nos pulmões).
inspire	<i>vt+vi</i><b> 1</b> inspirar, fazer sentir, incutir.<b> 2</b> afetar, influenciar.<b> 3</b> insuflar com força divina.<b> 4</b> sugerir, aconselhar, incitar.<b> 5</b> inspirar, respirar (ar nos pulmões).
install	<i>vt</i><b> 1</b> colocar (uma pessoa), empossar, investir.<b> 2</b> acomodar, estabelecer.<b> 3</b> instalar.
installation	<i> n</i><b> 1</b> emposse, colocação.<b> 2</b> instalação, aparelhamento.
instance	<i> n</i><b> 1</b> exemplo, caso.<b> 2</b> instância, ocasião, estágio.<b> 3</b> insistência, pedido urgente. <b>4 </b>caso, ilustração, exemplo. <b>5 </b><i>Jur </i>ação civil, demanda judicial. • <i>vt</i> citar como exemplo, provar, exemplificar. <b>an instance of</b> um exemplo para. <b>at the instance of</b> por instância de. <b>for</b> <b>instance</b> (abreviatura:<i> </i>e.g.) por exemplo. <b>in her</b> <b>instance</b> no caso dela. <b>in the first</b> <b>instance </b>em primeiro lugar. <b>in the last</b> <b>instance </b>finalmente.
instant	<i> n</i> momento, instante. <i>in the instant we met </i>/ no momento em que nos encontramos. <i>do it this instant! </i>/ faça imediatamente! •<i> adj</i><b> 1</b> imediato, sem demora.<b> 2</b> urgente, instante, iminente.<b> 3</b> presente, do corrente mês. <b>at that</b> <b>instant </b>neste momento. <b>in an</b> <b>instant </b>num instante. <b>on the instant </b>imediatamente, sem demora. <b>the 5th instant</b> dia<b> </b>5 do corrente.
instead of	instead of: pr. ao invés de, instead of: pr. em vez de
instinct	<i> n</i><b> 1</b> instinto, impulso natural.<b> 2</b> inspiração, talento. • [inst´iukt]<i> adj</i><b> 1</b> animado, movido.<b> 2</b> penetrado, cheio, impregnado, imbuído.
instinctual	<i>adj </i>= <b>instinctive. </b>
institute	<i> n</i><b> 1</b> instituição.<b> 2</b> instituto, estabelecimento (científico ou artístico).<b> 3</b> princípio, costume. • <i>vt</i><b> 1</b> instituir, estabelecer, criar, fundar.<b> 2</b> nomear, declarar, inaugurar, empossar (<b>into</b> em).<b> 3</b> abrir inquérito, processo.
institution	<i>n </i><b>1 </b>instituição, organização, instituto.<b> 2</b> costume, praxe, lei.<b> 3</b> emposse, ato de estabelecer, de iniciar. <b>4</b><i> coll </i>pessoa ou coisa familiar. <b>5 </b><i>Eccl </i>estabelecimento de um sacramento de Jesus.
institutional	<i> adj</i> conforme estabelecido por uma instituição, institucional.
instruct	<i>vt</i> <b>1</b> instruir, informar.<b> 2</b> ordenar. <b>3</b> ensinar.
instruction	<i> n</i><b> 1</b> instrução, regulamento, esclarecimento, ensino.<b> 2</b> ordem. <b>3 </b><i>Comp </i>padrão de dígitos para um computador que significa que deve ser feita uma determinada operação. <b>instructions for use</b> modo de usar.
instrument	<i> n</i><b> 1</b> instrumento, utensílio, ferramenta.<b> 2</b> instrumento musical.<b> 3</b> meio, agente.<b> 4</b> documento (legal), contrato. • <i>vt</i> instrumentar. • <i>adj</i> por instrumento, através de instrumentos. <b>stringed instrument </b>instrumento de corda. <b>wind instrument </b>instrumento de sopro.
insufficient	<i> adj</i> insuficiente.
insufficiently	<i>adv</i> insuficientemente.
insultingly	<i>adv</i> com insulto, insultuo­samente.
insuperably	<i>adv</i> insuperavelmente, invencivelmente.
insure	<i>vt+vi</i><b> 1</b> assegurar, garantir.<b> 2</b> segurar: a) proteger, tornar seguro. b) pôr no seguro.
intact	<i> adj</i> intato, íntegro, ileso.
integrally	<i>adv</i> integralmente.
integrate	<i>vt+vi</i><b> 1</b> integrar, completar.<b> 2</b><i> Math</i> determinar a integral. <b>3</b> combinar, amalgamar. <b>4</b> incorporar. • <i>adj</i> completo, inteiro.
integration	<i> n</i> integração: ato de integrar.
integrity	<i> n</i> <b>1 </b>integridade, honestidade. <b>2</b> intei­reza, totalidade.
intellectual	<i> n</i> intelectual. •<i> adj</i><b> 1</b> intelectual.<b> 2</b> inteligente.<b> 3</b> destro.<b> 4</b> compreensivo.
intelligence	<i> n</i> <b>1 </b>inteligência.<b> 2</b> conhecimento, informações<i>.</i><b> 3</b> obtenção e distribuição de informações (secretas).<b> 4</b> pessoal encarregado de informações secretas.
intelligent	<i> adj</i><b> 1</b> inteligente.<b> 2</b> destro.
intemperately	<i>adv</i> com intempe­rança.
intend	<i>vt+vi</i><b> 1</b> pretender, intentar, planejar, tencionar.<b> </b><i>do you intend to stay? </i>/ você pretende ficar? <i>what did he intend by it? </i>/ o que foi que ele tencionou? <i>what was it intended for? </i>/ qual foi a finalidade? <b>2</b> significar.
intense	<i>adj</i><b> 1</b> intenso, forte, ativo, enérgico.<b> 2</b> profundo.
intensify	<i>vt+vi</i> intensificar, reforçar.
intensity	<i> n</i><b> </b>intensidade (também <i>Phys</i>), vio­lência.
intensive	<i> n Gram</i> palavra ou partícula intensiva. •<i> adj</i><b> 1</b> intensivo, profundo, intenso, ativo.<b> 2</b><i> Gram</i> intensivo, enfático.
intention	<i> n</i><b> 1</b> intenção, finalidade, plano, propósito.<b> 2</b> conceito, significação.<b> 3</b> <b>intentions</b> intenções (referente ao casamento).
interaction	<i> n</i> interação.
interactive	<i> adj </i>interativo: <b>1 </b>com interação. <b>2 </b><i>Comp </i>relativo a uma aplicação na qual cada entrada provoca uma resposta.
intercept	<i>n </i>intercepção:<b> 1</b> ato de interceptar.<b> 2</b> <i>Math</i> segmento de reta compreendido entre duas retas que a interceptam. • <i>vt</i><b> 1</b> interceptar, inibir, interromper, deter.<b> 2</b> cortar.<b> 3</b><i> Math</i> limitar.
interchangeability	<i> n</i> permu­tabilidade, troca.
intercommunication	<i> n</i> in­tercomunicação, ligação, comunicação recíproca.
interest	<i> n</i><b> 1</b> interesse, atração.<b> </b><i>he showed a great interest for my case </i>/ ele demonstrou grande interesse pelo meu caso. <i>the book has lost all interest for me </i>/ o livro não me atrai mais. <b>2</b><i> Com</i> ação, parte, porção.<b> 3</b> coisa que interessa.<b> 4</b> sociedade.<b> 5</b> vantagem, benefício (próprio).<b> 6</b> força (moral), influência, importância. <i>he has no interest in the town </i>/ ele não possui influência na cidade. <i>it is only of small interest to know </i>/ é de somenos importância saber. <b>7</b> <i>Econ </i>juros. <i>he cannot pay the interest on the capital </i>/ ele não pode pagar os juros sobre o capital. <i>he lends at interest </i>/ ele empresta dinheiro a juros. <b>8 </b><i>Com<b> </b></i>lucro. • <i>vt</i><b> 1</b> interessar, atrair, cativar.<b> 2</b> importar, concernir, atingir, comover. <b>I interest myself in</b> eu me interesso por. <b>in my (your)</b> <b>interest </b>em meu (seu) interesse. <b>in the interest of </b>em benefício de. <b>the landed</b> <b>interest </b>os latifundiários. <b>to be interested in</b> estar interessado em. <b>to have someone’s interests at heart</b> importar-se com alguém, tentar ajudar alguém.<b> to take no interest in</b> não interessar-se por.
interesting	<i> adj</i> interessante, atraente. <b>to be in an interesting condition</b> estar grávida.
interestingly	<i>adv</i> de maneira interessante.
interestingly enough	interestingly enough: adv. curiosamente
interim	<i> n</i> ínterim, intervalo. •<i> adj</i> interino, provisório, temporário. <b>in the interim </b>entrementes, nesse ínterim.
interior	<i> n</i> interior:<b> 1</b> parte interna.<b> 2</b> parte interior de um país.<b> 3</b> assuntos internos de um país. •<i> adj</i><b> 1</b> interior, interno.<b> 2</b> afastado da costa.<b> 3</b> doméstico.<b> 4</b> secreto, particular.<b> Department of the lnterior</b> <i>Amer</i> ministério dos negócios internos. <b>the interior</b> negócios internos.
interlocutor	<i> n</i> interlocutor.
internal	<i> n</i> natureza interna, âmago. •<i> adj</i><b> 1</b> interno, que está dentro, intrínseco.<b> 2</b> que se toma (como medicamento).<b> 3</b> doméstico, do país.
international	<i> n</i> <b>1 </b>organização in­ter­­nacional. <b>2 </b><i>Sport </i>partida (de futebol, tênis etc.) internacional. <b>3 </b>jogador que joga no time do seu país. •<i> adj</i> internacional.  <i> n</i> Internacional:<b> 1</b> associação internacional dos socialistas.<b> 2</b> hino comunista.<b>Mon.e.ta.ry Fund</b> [int2næ82n2l m´ni­t2ri fnd]<i> n</i> Fundo Monetário Internacional (FMI).
